temperature,wind_direction,wind_velocity,humidity,condition,pressure,icon,sensation,date
24,E,9.5,98.5,Poucas nuvens,911.3,2n,24,2023-03-29 00:26:11
24,ENE,9.2,98.8,Poucas nuvens,910.7,2n,24,2023-03-29 00:35:09
23,ENE,11.0,97.9,Poucas nuvens,910.0,2n,23,2023-03-29 01:45:09
23,ENE,11.0,97.9,Poucas nuvens,910.0,2n,23,2023-03-29 02:25:14
23,NE,11.2,97.1,Poucas nuvens,909.8,2n,23,2023-03-29 02:35:09
22,NE,11.2,97.1,Poucas nuvens,909.8,2n,22,2023-03-29 03:25:09
22,NE,9.6,96.6,Poucas nuvens,910.0,2n,22,2023-03-29 03:35:10
21,NE,9.6,96.6,Poucas nuvens,910.0,2n,21,2023-03-29 04:25:09
21,NE,8.7,96.3,Poucas nuvens,910.2,2n,21,2023-03-29 04:35:09
21,NE,8.7,96.3,Poucas nuvens,910.2,2n,21,2023-03-29 05:25:09
21,NE,8.6,96.2,Poucas nuvens,910.5,2n,21,2023-03-29 05:35:09
21,NE,8.6,96.2,Poucas nuvens,910.5,2n,21,2023-03-29 05:45:09
21,NNW,8.6,96.2,Poucas nuvens,910.5,2n,21,2023-03-29 06:05:10
21,NE,6.0,88.0,Nevoa úmida,1017.0,3tm,21,2023-03-29 06:15:09
21,NE,6.0,88.0,Nevoa úmida,1017.0,3tm,21,2023-03-29 07:15:09
21,ND,4.0,94.0,Nevoa úmida,1018.0,3tm,21,2023-03-29 07:25:09
21,ND,4.0,94.0,Nevoa úmida,1018.0,3tm,21,2023-03-29 08:15:27
21,ND,4.0,94.0,Nevoa úmida,1018.0,3tm,21,2023-03-29 08:14:27
24,NNE,6.0,83.0,Muitas nuvens,1018.0,2,24,2023-03-29 08:46:00
24,NNE,6.0,83.0,Muitas nuvens,1018.0,2,24,2023-03-29 08:58:16
24,NNE,6.0,83.0,Muitas nuvens,1018.0,2,24,2023-03-29 08:58:19
24,NNE,6.0,83.0,Muitas nuvens,1018.0,2,24,2023-03-29 08:58:16
24,NNE,6.0,83.0,Muitas nuvens,1018.0,2,24,2023-03-29 08:58:19
24,NNE,6.0,83.0,Muitas nuvens,1018.0,2,24,2023-03-29 08:58:16
24,NNE,6.0,83.0,Muitas nuvens,1018.0,2,24,2023-03-29 08:58:16
